"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/08/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/09/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/10/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/11/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/12/2007","AQS","060130002","1","1","ppb","1","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/13/2007","AQS","060130002","1","4","ppb","6","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/14/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/15/2007","AQS","060130002","1","2","ppb","3","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/16/2007","AQS","060130002","1","8","ppb","11","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
"01/17/2007","AQS","060130002","1","4","ppb","6","Concord","22","92.0000","42401","Sulfur dioxide","060","41860","San Francisco-Oakland-Hayward, CA","06","California","013","Contra Costa","37.936013","-122.026154"
