"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2002","AQS","060010010","1","4","ppb","6","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/02/2002","AQS","060010010","1","4","ppb","6","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/03/2002","AQS","060010010","1","4","ppb","6","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/04/2002","AQS","060010010","1","4","ppb","6","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/05/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/06/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/07/2002","AQS","060010010","1","2","ppb","3","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/08/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/09/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/10/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/11/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/12/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/13/2002","AQS","060010010","1","2","ppb","3","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/14/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/15/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/16/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
"01/17/2002","AQS","060010010","1","3","ppb","4","Oakland-International Blvd.","24","100.0000","42401","Sulfur dioxide","020","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.760228638","-122.193578238"
