"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/31/2002","AQS","060270004","4","27","ug/m3 SC","25","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/01/2002","AQS","060270004","4","21","ug/m3 SC","19","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/02/2002","AQS","060270004","4","16","ug/m3 SC","15","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/03/2002","AQS","060270004","4","17","ug/m3 SC","16","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/04/2002","AQS","060270004","4","18","ug/m3 SC","17","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/05/2002","AQS","060270004","4","16","ug/m3 SC","15","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/06/2002","AQS","060270004","4","22","ug/m3 SC","20","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/07/2002","AQS","060270004","4","19","ug/m3 SC","18","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/08/2002","AQS","060270004","4","19","ug/m3 SC","18","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/09/2002","AQS","060270004","4","156","ug/m3 SC","101","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/10/2002","AQS","060270004","4","22","ug/m3 SC","20","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/11/2002","AQS","060270004","4","15","ug/m3 SC","14","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/12/2002","AQS","060270004","4","19","ug/m3 SC","18","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/13/2002","AQS","060270004","4","23","ug/m3 SC","21","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/14/2002","AQS","060270004","4","25","ug/m3 SC","23","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/15/2002","AQS","060270004","4","24","ug/m3 SC","22","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/16/2002","AQS","060270004","4","26","ug/m3 SC","24","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/17/2002","AQS","060270004","4","18","ug/m3 SC","17","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/18/2002","AQS","060270004","4","14","ug/m3 SC","13","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/19/2002","AQS","060270004","4","21","ug/m3 SC","19","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/20/2002","AQS","060270004","4","30","ug/m3 SC","28","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/21/2002","AQS","060270004","4","22","ug/m3 SC","20","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/22/2002","AQS","060270004","4","17","ug/m3 SC","16","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/23/2002","AQS","060270004","4","22","ug/m3 SC","20","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/24/2002","AQS","060270004","4","18","ug/m3 SC","17","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/25/2002","AQS","060270004","4","21","ug/m3 SC","19","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/26/2002","AQS","060270004","4","22","ug/m3 SC","20","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/27/2002","AQS","060270004","4","23","ug/m3 SC","21","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/28/2002","AQS","060270004","4","26","ug/m3 SC","24","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/29/2002","AQS","060270004","4","26","ug/m3 SC","24","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"06/30/2002","AQS","060270004","4","26","ug/m3 SC","24","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/01/2002","AQS","060270004","4","36","ug/m3 SC","33","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/02/2002","AQS","060270004","4","22","ug/m3 SC","20","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/03/2002","AQS","060270004","4","28","ug/m3 SC","26","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/04/2002","AQS","060270004","4","26","ug/m3 SC","24","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/05/2002","AQS","060270004","4","22","ug/m3 SC","20","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/06/2002","AQS","060270004","4","20","ug/m3 SC","19","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/07/2002","AQS","060270004","4","17","ug/m3 SC","16","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/08/2002","AQS","060270004","4","14","ug/m3 SC","13","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/09/2002","AQS","060270004","4","17","ug/m3 SC","16","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/10/2002","AQS","060270004","4","19","ug/m3 SC","18","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
"07/11/2002","AQS","060270004","4","41","ug/m3 SC","38","Lone Pine PM","1","100.0000","81102","PM10 Total 0-10um STP","079","13860","Bishop, CA","06","California","027","Inyo","36.609003","-118.057809"
