"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"05/30/2007","AQS","060010007","1","16","ug/m3 SC","15","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/05/2007","AQS","060010007","1","14","ug/m3 SC","13","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/11/2007","AQS","060010007","1","24","ug/m3 SC","22","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/17/2007","AQS","060010007","1","25","ug/m3 SC","23","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/23/2007","AQS","060010007","1","20","ug/m3 SC","19","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/29/2007","AQS","060010007","1","9","ug/m3 SC","8","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"07/05/2007","AQS","060010007","1","33","ug/m3 SC","31","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"07/11/2007","AQS","060010007","1","9","ug/m3 SC","8","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"07/17/2007","AQS","060010007","1","8","ug/m3 SC","7","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"07/23/2007","AQS","060010007","1","11","ug/m3 SC","10","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"07/29/2007","AQS","060010007","1","11","ug/m3 SC","10","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"08/04/2007","AQS","060010007","1","15","ug/m3 SC","14","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"08/10/2007","AQS","060010007","1","22","ug/m3 SC","20","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"08/16/2007","AQS","060010007","1","14","ug/m3 SC","13","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"08/22/2007","AQS","060010007","1","26","ug/m3 SC","24","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"08/28/2007","AQS","060010007","1","24","ug/m3 SC","22","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"09/03/2007","AQS","060010007","1","14","ug/m3 SC","13","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"09/09/2007","AQS","060010007","1","22","ug/m3 SC","20","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"09/15/2007","AQS","060010007","1","10","ug/m3 SC","9","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"09/21/2007","AQS","060010007","1","23","ug/m3 SC","21","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"09/27/2007","AQS","060010007","1","25","ug/m3 SC","23","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"10/03/2007","AQS","060010007","1","22","ug/m3 SC","20","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"10/09/2007","AQS","060010007","1","17","ug/m3 SC","16","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
