"Date","Source","Site ID","POC","Daily Mean Pb Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/21/2002","AQS","060011001","7","0.009","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"03/27/2002","AQS","060011001","7","0.002","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"04/14/2002","AQS","060011001","7","0.002","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"04/26/2002","AQS","060011001","7","0.002","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"05/09/2002","AQS","060011001","7","0.002","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"05/20/2002","AQS","060011001","7","0.002","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"06/01/2002","AQS","060011001","7","0.002","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"06/13/2002","AQS","060011001","7","0.002","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"07/01/2002","AQS","060011001","7","0.012","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"07/07/2002","AQS","060011001","7","0.0015","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"07/19/2002","AQS","060011001","7","0.005","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"07/31/2002","AQS","060011001","7","0.006","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"08/12/2002","AQS","060011001","7","0.008","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"08/24/2002","AQS","060011001","7","0.004","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"09/05/2002","AQS","060011001","7","0.005","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"09/17/2002","AQS","060011001","7","0.006","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"09/29/2002","AQS","060011001","7","0.0015","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"10/11/2002","AQS","060011001","7","0.007","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"10/23/2002","AQS","060011001","7","0.0015","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"11/04/2002","AQS","060011001","7","0.007","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"11/16/2002","AQS","060011001","7","0.006","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"11/28/2002","AQS","060011001","7","0.007","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"12/10/2002","AQS","060011001","7","0.005","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"12/22/2002","AQS","060011001","7","0.0015","ug/m3 SC",".","Fremont - Chapel Way","1","100.0000","12128","Lead (TSP) STP","304","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.535833","-121.961823"
"01/08/2002","AQS","060070002","7","0.007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"01/20/2002","AQS","060070002","7","0.006","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"02/01/2002","AQS","060070002","7","0.002","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"02/13/2002","AQS","060070002","7","0.005","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"02/25/2002","AQS","060070002","7","0.002","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"03/09/2002","AQS","060070002","7","0.007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"03/21/2002","AQS","060070002","7","0.007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/08/2002","AQS","060070002","7","0.007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/14/2002","AQS","060070002","7","0.007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/27/2002","AQS","060070002","7","0.002","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"05/06/2002","AQS","060070002","7","0.002","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"05/08/2002","AQS","060070002","7","0.002","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"05/20/2002","AQS","060070002","7","0.002","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"06/01/2002","AQS","060070002","7","0.007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"06/13/2002","AQS","060070002","7","0.002","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"06/25/2002","AQS","060070002","7","0.002","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"07/07/2002","AQS","060070002","7","0.0015","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"07/19/2002","AQS","060070002","7","0.005","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"07/31/2002","AQS","060070002","7","0.007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"08/12/2002","AQS","060070002","7","0.004","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"08/27/2002","AQS","060070002","7","0.004","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"09/05/2002","AQS","060070002","7","0.0015","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"09/17/2002","AQS","060070002","7","0.004","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"09/30/2002","AQS","060070002","7","0.0015","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"10/11/2002","AQS","060070002","7","0.004","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"10/23/2002","AQS","060070002","7","0.0015","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"11/04/2002","AQS","060070002","7","0.007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"11/16/2002","AQS","060070002","7","0.011","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"11/28/2002","AQS","060070002","7","0.009","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"12/10/2002","AQS","060070002","7","0.0015","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"12/22/2002","AQS","060070002","7","0.0015","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","304","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"01/17/2002","AQS","060190008","7","0.008","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"01/23/2002","AQS","060190008","7","0.011","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"02/13/2002","AQS","060190008","7","0.009","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"02/25/2002","AQS","060190008","7","0.008","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"03/03/2002","AQS","060190008","7","0.007","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"03/09/2002","AQS","060190008","7","0.005","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"03/21/2002","AQS","060190008","7","0.009","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"04/02/2002","AQS","060190008","7","0.008","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"04/14/2002","AQS","060190008","7","0.008","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"04/26/2002","AQS","060190008","7","0.005","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"05/08/2002","AQS","060190008","7","0.002","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"05/20/2002","AQS","060190008","7","0.002","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"06/01/2002","AQS","060190008","7","0.006","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"06/13/2002","AQS","060190008","7","0.005","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"06/29/2002","AQS","060190008","7","0.002","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"07/07/2002","AQS","060190008","7","0.008","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"07/19/2002","AQS","060190008","7","0.004","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"07/31/2002","AQS","060190008","7","0.004","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"08/12/2002","AQS","060190008","7","0.007","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"08/24/2002","AQS","060190008","7","0.006","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"09/05/2002","AQS","060190008","7","0.009","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"09/17/2002","AQS","060190008","7","0.004","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"09/29/2002","AQS","060190008","7","0.0015","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"10/23/2002","AQS","060190008","7","0.007","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"11/04/2002","AQS","060190008","7","0.017","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"11/16/2002","AQS","060190008","7","0.006","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"11/28/2002","AQS","060190008","7","0.013","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"12/10/2002","AQS","060190008","7","0.007","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"12/22/2002","AQS","060190008","7","0.0015","ug/m3 SC",".","3425 N FIRST ST, FRESNO","1","100.0000","12128","Lead (TSP) STP","304","23420","Fresno, CA","06","California","019","Fresno","36.7813328518401","-119.77318981409"
"01/02/2002","AQS","060250005","1","0.034","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","092","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/17/2002","AQS","060250005","1","0.0056","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","092","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/20/2002","AQS","060250005","1","0.023","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","092","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/23/2002","AQS","060250005","1","0.0034","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","092","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"01/26/2002","AQS","060250005","1","0.02","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","092","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"02/01/2002","AQS","060250005","1","0.0061","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","092","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
